codigo;natureza
1101;Compra para industrialização
1102;Compra para comercialização
1111;Compra para industrialização de mercador
1113;Compra para comercialização, de mercador
1116;Compra para industrialização originada d
1118;Compra de mercadoria para comercializaçã
1120;Compra para industrialização, em venda à
1121;Compra para comercialização, em venda à
1122;Compra para industrialização em que a me
1124;Industrialização efetuada por outra empr
1125;Industrialização efetuada por outra empr
1117;Compra para comercialização originada de
1126;Compra para utilização na prestação de s
1151;Transferência para industrialização
1152;Transferência para comercialização
1153;Transferência de energia elétrica para d
1154;Transferência para utilização na prestaç
1201;Devolução de venda de produção do estabe
1202;Devolução de venda de mercadoria adquiri
1203;Devolução de venda de produção do estabe
1204;Devolução de venda de mercadoria adquiri
1205;Anulação de valor relativo à prestação d
1206;Anulação de valor relativo à prestação d
1207;Anulação de valor relativo à venda de en
1208;Devolução de produção do estabelecimento
1209;Devolução de mercadoria adquirida ou rec
1251;Compra de energia elétrica para distribu
1252;Compra de energia elétrica por estabelec
1253;Compra de energia elétrica por estabelec
1254;Compra de energia elétrica por estabelec
1255;Compra de energia elétrica por estabelec
1256;Compra de energia elétrica por estabelec
1257;Compra de energia elétrica para consumo
1301;Aquisição de serviço de comunicação para
1302;Aquisição de serviço de comunicação por
1303;Aquisição de serviço de comunicação por
1304;Aquisição de serviço de comunicação por
1305;Aquisição de serviço de comunicação por
1306;Aquisição de serviço de comunicação por
1351;Aquisição de serviço de transporte para
1352;Aquisição de serviço de transporte por e
1353;Aquisição de serviço de transporte por e
1354;Aquisição de serviço de transporte por e
1355;Aquisição de serviço de transporte por e
1356;Aquisição de serviço de transporte por e
1401;Compra para industrialização em operação
1403;Compra para comercialização em operação
1406;Compra de bem para o ativo imobilizado c
1407;Compra de mercadoria para uso ou consumo
1408;Transferência para industrialização em o
1409;Transferência para comercialização em op
1410;Devolução de venda de produção do estabe
1411;Devolução de venda de mercadoria adquiri
1414;Retorno de produção do estabelecimento,
1415;Retorno de mercadoria adquirida ou receb
1451;Retorno de animal do estabelecimento pro
1452;Retorno de insumo não utilizado na produ
1501;Entrada de mercadoria recebida com fim e
1503;Entrada decorrente de devolução de produ
1504;Entrada decorrente de devolução de merca
1551;Compra de bem para o ativo imobilizado
1552;Transferência de bem do ativo imobilizad
1553;Devolução de venda de bem do ativo imobi
1554;Retorno de bem do ativo imobilizado reme
1555;Entrada de bem do ativo imobilizado de t
1556;Compra de material para uso ou consumo
1557;Transferência de material para uso ou co
1601;Recebimento, por transferência, de crédi
1602;Recebimento, por transferência, de saldo
1603;Ressarcimento de ICMS retido por substit
1604;Lançamento do crédito relativo à compra
1605;Recebimento, por transferência, de saldo
1651;Compra de combustível ou lubrificante pa
1652;Compra de combustível ou lubrificante pa
1653;Compra de combustível ou lubrificante po
1658;Transferência de combustível e lubrifica
1659;Transferência de combustível e lubrifica
1660;Devolução de venda de combustível ou lub
1661;Devolução de venda de combustível ou lub
1662;Devolução de venda de combustível ou lub
1663;Entrada de combustível ou lubrificante p
1664;Retorno de combustível ou lubrificante r
1901;Entrada para industrialização por encome
1902;Retorno de mercadoria remetida para indu
1903;Entrada de mercadoria remetida para indu
1904;Retorno de remessa para venda fora do es
1905;Entrada de mercadoria recebida para depó
1906;Retorno de mercadoria remetida para depó
1907;Retorno simbólico de mercadoria remetida
1908;Entrada de bem por conta de contrato de
1909;Retorno de bem remetido por conta de con
1910;Entrada de bonificação, doação ou brinde
1911;Entrada de amostra grátis
1912;Entrada de mercadoria ou bem recebido pa
1913;Retorno de mercadoria ou bem remetido pa
1914;Retorno de mercadoria ou bem remetido pa
1915;Entrada de mercadoria ou bem recebido pa
1916;Retorno de mercadoria ou bem remetido pa
1917;Entrada de mercadoria recebida em consig
1918;Devolução de mercadoria remetida em cons
1919;Devolução simbólica de mercadoria vendid
1920;Entrada de vasilhame ou sacaria
1921;Retorno de vasilhame ou sacaria
1922;Lançamento efetuado a título de simples
1923;Entrada de mercadoria recebida do vended
1924;Entrada para industrialização por conta
1925;Retorno de mercadoria remetida para indu
1926;Lançamento efetuado a título de reclassi
1932;Aquisição de serviço de transporte inici
1933;Aquisição de serviço tributado pelo ISSQ
1949;Outra entrada de mercadoria ou prestação
2000;ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DE OU
2101;Compra para industrialização
2102;Compra para comercialização
2111;Compra para industrialização de mercador
2113;Compra para comercialização, de mercador
2116;Compra para industrialização originada d
2117;Compra para comercialização originada de
2118;Compra de mercadoria para comercializaçã
2120;Compra para industrialização, em venda à
2121;Compra para comercialização, em venda à
2122;Compra para industrialização em que a me
2124;Industrialização efetuada por outra empr
2125;Industrialização efetuada por outra empr
